127.0.0.1 - - [24/Jun/2021:16:16:02 +0800] "GET /Course-Registration/students/ HTTP/1.1" 200 22398
127.0.0.1 - - [24/Jun/2021:16:16:02 +0800] "GET /Course-Registration/resources/css/style.css HTTP/1.1" 200 1049
127.0.0.1 - - [24/Jun/2021:16:16:06 +0800] "GET /Course-Registration/students/enroll?courseId=41 HTTP/1.1" 302 -
127.0.0.1 - - [24/Jun/2021:16:16:06 +0800] "GET /Course-Registration/students/?username=lingrong%40gmail.com HTTP/1.1" 200 22398
127.0.0.1 - - [24/Jun/2021:16:16:06 +0800] "GET /Course-Registration/resources/css/style.css HTTP/1.1" 200 1049
127.0.0.1 - - [24/Jun/2021:16:16:13 +0800] "GET /Course-Registration/students/search?theSearchName=data HTTP/1.1" 200 4243
127.0.0.1 - - [24/Jun/2021:16:16:13 +0800] "GET /Course-Registration/resources/css/style.css HTTP/1.1" 200 1049
127.0.0.1 - - [24/Jun/2021:16:16:16 +0800] "GET /Course-Registration/students/myCourse HTTP/1.1" 200 4800
127.0.0.1 - - [24/Jun/2021:16:16:16 +0800] "GET /Course-Registration/resources/css/style.css HTTP/1.1" 200 1049
127.0.0.1 - - [24/Jun/2021:16:16:19 +0800] "GET /Course-Registration/students/rate?courseId=41 HTTP/1.1" 200 2863
127.0.0.1 - - [24/Jun/2021:16:16:32 +0800] "POST /Course-Registration/students/processReview HTTP/1.1" 302 -
127.0.0.1 - - [24/Jun/2021:16:16:32 +0800] "GET /Course-Registration/students/myCourse?username=lingrong%40gmail.com HTTP/1.1" 200 4785
127.0.0.1 - - [24/Jun/2021:16:16:32 +0800] "GET /Course-Registration/resources/css/style.css HTTP/1.1" 200 1049
